Feature,Coefficient,Abs_Coefficient
Feature_77,-1.916601000348155,1.916601000348155
Feature_32,-1.7340478982759742,1.7340478982759742
Feature_80,1.7122067529139036,1.7122067529139036
Feature_70,1.4966901042644687,1.4966901042644687
grad_std,-1.4534571271134016,1.4534571271134016
Feature_61,1.282142972612477,1.282142972612477
Feature_15,-1.207318510511029,1.207318510511029
Feature_56,1.1390452616146047,1.1390452616146047
Feature_57,1.1344074665437889,1.1344074665437889
Feature_36,-0.9834440722338961,0.9834440722338961
Feature_46,0.9207271524670404,0.9207271524670404
Feature_66,0.9133884769605384,0.9133884769605384
HU_std,-0.908985930274496,0.908985930274496
Feature_65,-0.8782084012779149,0.8782084012779149
Feature_63,-0.8556323910626128,0.8556323910626128
Feature_45,0.8482691501611512,0.8482691501611512
Feature_19,0.8024534634239785,0.8024534634239785
Feature_23,-0.7795942707524646,0.7795942707524646
Feature_71,0.7762642676949599,0.7762642676949599
Feature_55,0.7754223203272276,0.7754223203272276
grad_mean,-0.7428632193548326,0.7428632193548326
Feature_17,-0.6868593251919388,0.6868593251919388
HU_p25,-0.5811371312923231,0.5811371312923231
Feature_62,0.5711497230195332,0.5711497230195332
Feature_76,-0.5464094594921722,0.5464094594921722
Feature_29,0.5311517345278096,0.5311517345278096
Feature_69,-0.523159123894728,0.523159123894728
Feature_82,-0.5100136027506111,0.5100136027506111
Feature_14,-0.5098217573660633,0.5098217573660633
Feature_18,-0.47248035973835095,0.47248035973835095
Feature_54,-0.4520689127570529,0.4520689127570529
Feature_59,0.4518219928684097,0.4518219928684097
Feature_78,-0.44664456775354927,0.44664456775354927
entropy,-0.4243867968581449,0.4243867968581449
Feature_44,-0.3941576743786719,0.3941576743786719
Feature_47,-0.39397577811349505,0.39397577811349505
HU_p10,-0.3602758488608329,0.3602758488608329
Feature_16,0.34179985794130113,0.34179985794130113
mask_area,0.3369732464312638,0.3369732464312638
mean_HU,0.3361246680599083,0.3361246680599083
Feature_24,0.3328889973472221,0.3328889973472221
Feature_43,-0.3250031960815089,0.3250031960815089
Feature_67,0.31975315201619064,0.31975315201619064
Feature_53,0.3176318856084515,0.3176318856084515
Feature_27,0.3041295821394706,0.3041295821394706
Feature_41,-0.2917621531761077,0.2917621531761077
Feature_40,0.287255840557193,0.287255840557193
Feature_81,-0.2836291418208456,0.2836291418208456
Feature_79,-0.2713929994328392,0.2713929994328392
homog,0.26185082796717524,0.26185082796717524
Feature_75,0.2593967171698487,0.2593967171698487
Feature_84,0.24985846805672274,0.24985846805672274
Feature_49,0.2428312927751086,0.2428312927751086
Feature_33,0.24185610455248321,0.24185610455248321
Feature_42,0.23701059724982831,0.23701059724982831
Feature_35,-0.23155454903590234,0.23155454903590234
Feature_48,0.22488995350786609,0.22488995350786609
mask_frac,-0.21425773697321626,0.21425773697321626
Feature_25,0.21215362333879223,0.21215362333879223
Feature_30,0.21190217918841084,0.21190217918841084
Feature_38,-0.20757721243651855,0.20757721243651855
Feature_60,-0.1910925038234312,0.1910925038234312
Feature_39,-0.18806900564290255,0.18806900564290255
contrast,-0.1871741618595715,0.1871741618595715
Feature_26,0.18703825665900412,0.18703825665900412
Feature_52,0.1725584158090381,0.1725584158090381
Feature_58,0.16152457926737548,0.16152457926737548
Feature_72,-0.15534909818379664,0.15534909818379664
Feature_21,-0.1503676884075051,0.1503676884075051
Feature_73,-0.1317413740579901,0.1317413740579901
HU_p50,-0.12883300132433123,0.12883300132433123
Feature_22,0.1181527243283296,0.1181527243283296
Feature_50,-0.11489446547875808,0.11489446547875808
Feature_83,-0.10689221362026524,0.10689221362026524
Feature_31,-0.0962465644519755,0.0962465644519755
Feature_68,-0.07288934809033669,0.07288934809033669
Feature_37,0.07247203936420998,0.07247203936420998
Feature_74,0.07179283039505412,0.07179283039505412
Feature_64,-0.06102425994751369,0.06102425994751369
Feature_51,0.05942204523873411,0.05942204523873411
Feature_20,-0.05349523073681753,0.05349523073681753
Feature_28,-0.0523675932299793,0.0523675932299793
HU_p90,0.01996396607480691,0.01996396607480691
HU_p75,-0.016008777177456548,0.016008777177456548
Feature_34,-0.004722201748798894,0.004722201748798894
