feature,overlap_coef,cohens_d
Feature_33,0.9055409120925028,0.1373295947381912
Feature_25,0.89375729198788,0.19324132806983663
Feature_51,0.890294430493174,0.13857742459991632
Feature_45,0.8889536884782984,0.23608701244150207
Feature_43,0.8838475370098859,0.25014024460838424
contrast,0.8817782474248446,0.15261554144764058
Feature_29,0.8695411166736757,0.307297832282609
Feature_42,0.8646983549065532,0.27366826514617826
Feature_38,0.8585441486044166,0.2539375599231008
Feature_36,0.8490662207908573,0.298328555617593
Feature_65,0.8034158707187055,0.35985644579684245
Feature_78,0.7841429075477099,0.5355297655466411
Feature_76,0.7837521253042825,0.48634584585200186
Feature_63,0.7523426944354727,0.5668326002806742
mask_frac,0.726649688737974,0.6149873009307804
