feature,overlap_coef,cohens_d
Feature_67,0.904801497218194,0.19711988429568725
Feature_50,0.8998922633462069,0.09925028483368627
Feature_24,0.8942418482973867,0.03508790635604928
Feature_15,0.8788181909217885,0.27347522413476066
Feature_27,0.8596855558066352,0.22217813058215352
Feature_47,0.8415809544177286,0.40953366451222767
Feature_43,0.8375863401247374,0.22872407754990964
Feature_34,0.8338554649343295,0.32518090960665785
Feature_62,0.8030684464022267,0.4025091326334885
HU_p50,0.8005922987508244,0.3846200130262702
Feature_70,0.7921864982579545,0.42564965333007415
mask_frac,0.7906392637140103,0.510531982904115
homog,0.7306977101114436,0.7180936639502035
HU_std,0.712472193815356,0.5632464747098432
Feature_81,0.7085313282858167,0.6898900523969048
