Feature,Coefficient,Abs_Coefficient
mean_HU,-1.1584009508204232,1.1584009508204232
mask_frac,1.0794181957588491,1.0794181957588491
HU_p90,-0.9870126941818499,0.9870126941818499
grad_std,-0.7481917292600684,0.7481917292600684
contrast,0.7216788300566622,0.7216788300566622
HU_p25,0.47860194122393007,0.47860194122393007
mask_area,0.3891663074059661,0.3891663074059661
homog,0.30189489960433474,0.30189489960433474
grad_mean,-0.2804887450832775,0.2804887450832775
HU_p50,0.27121256696511414,0.27121256696511414
HU_std,0.22055197094171214,0.22055197094171214
entropy,0.19245249328186204,0.19245249328186204
HU_p75,0.16027054755390424,0.16027054755390424
HU_p10,0.02110731632088125,0.02110731632088125
