Feature,Coefficient,Abs_Coefficient
grad_std,-1.4534571271134016,1.4534571271134016
HU_std,-0.908985930274496,0.908985930274496
grad_mean,-0.7428632193548326,0.7428632193548326
HU_p25,-0.5811371312923231,0.5811371312923231
entropy,-0.4243867968581449,0.4243867968581449
HU_p10,-0.3602758488608329,0.3602758488608329
mask_area,0.3369732464312638,0.3369732464312638
mean_HU,0.3361246680599083,0.3361246680599083
homog,0.26185082796717524,0.26185082796717524
mask_frac,-0.21425773697321626,0.21425773697321626
contrast,-0.1871741618595715,0.1871741618595715
HU_p50,-0.12883300132433123,0.12883300132433123
HU_p90,0.01996396607480691,0.01996396607480691
HU_p75,-0.016008777177456548,0.016008777177456548
