Feature,Coefficient,Abs_Coefficient
mask_frac,1.210074585792949,1.210074585792949
entropy,0.971455904479788,0.971455904479788
HU_p90,-0.5913748865021607,0.5913748865021607
mean_HU,0.47272068223591196,0.47272068223591196
HU_p10,0.4569512166008411,0.4569512166008411
grad_std,0.4283188883910442,0.4283188883910442
homog,0.3951113601194515,0.3951113601194515
HU_std,0.38299865660884624,0.38299865660884624
mask_area,0.3803342599580172,0.3803342599580172
HU_p75,0.365245841495525,0.365245841495525
grad_mean,-0.33069036554343567,0.33069036554343567
HU_p50,-0.18018002390201596,0.18018002390201596
contrast,0.15045503102140767,0.15045503102140767
HU_p25,0.03205002948331032,0.03205002948331032
