Feature,Coefficient,Abs_Coefficient
HU_p90,1.3231161247240992,1.3231161247240992
Feature_84,-1.279378973055646,1.279378973055646
HU_std,-1.2525394476735727,1.2525394476735727
HU_p50,1.0495783177133404,1.0495783177133404
Feature_20,1.0482634931386574,1.0482634931386574
Feature_51,1.019731292224257,1.019731292224257
Feature_77,-0.9334354459325986,0.9334354459325986
Feature_67,-0.8455604016584395,0.8455604016584395
Feature_39,0.7844647988387567,0.7844647988387567
grad_mean,0.7689182287016222,0.7689182287016222
Feature_40,0.7527914401101989,0.7527914401101989
entropy,0.7282098790045306,0.7282098790045306
Feature_41,-0.7083961026547712,0.7083961026547712
HU_p75,0.7067457680595217,0.7067457680595217
grad_std,0.6971149597355004,0.6971149597355004
Feature_38,0.666603431118521,0.666603431118521
Feature_52,0.6312022806453791,0.6312022806453791
Feature_69,-0.6041446371119953,0.6041446371119953
HU_p25,-0.5527053941963538,0.5527053941963538
Feature_24,0.5495400794041595,0.5495400794041595
Feature_42,0.5461606939399403,0.5461606939399403
Feature_47,-0.5440873107379574,0.5440873107379574
Feature_50,-0.5437352802794387,0.5437352802794387
mean_HU,0.5364618738870287,0.5364618738870287
Feature_70,0.5094134726271619,0.5094134726271619
Feature_44,-0.5056156584426983,0.5056156584426983
Feature_73,0.4839339180248574,0.4839339180248574
Feature_64,-0.4588489172473101,0.4588489172473101
HU_p10,-0.456880917585407,0.456880917585407
Feature_60,0.4478309143122781,0.4478309143122781
mask_frac,0.4138149817339239,0.4138149817339239
Feature_22,-0.3952790575336176,0.3952790575336176
Feature_18,-0.38990356568494344,0.38990356568494344
contrast,-0.3886617687792643,0.3886617687792643
Feature_82,-0.37898776098888104,0.37898776098888104
Feature_57,0.37707749777349653,0.37707749777349653
Feature_25,-0.3566465853900131,0.3566465853900131
Feature_54,-0.3468043566864155,0.3468043566864155
Feature_19,0.33947270077016906,0.33947270077016906
Feature_43,0.3284251959135952,0.3284251959135952
Feature_55,-0.32629847626200387,0.32629847626200387
Feature_72,0.3153194577640188,0.3153194577640188
Feature_56,0.3149379850069617,0.3149379850069617
Feature_17,0.3144692451738323,0.3144692451738323
Feature_83,0.30217670751016124,0.30217670751016124
Feature_34,0.28880463100716697,0.28880463100716697
Feature_29,-0.27676037063137743,0.27676037063137743
mask_area,-0.2695243199015284,0.2695243199015284
Feature_53,0.2578899713171274,0.2578899713171274
Feature_68,-0.250412296191031,0.250412296191031
Feature_59,-0.2421977844998224,0.2421977844998224
homog,-0.23276682467446913,0.23276682467446913
Feature_78,0.22574716085688626,0.22574716085688626
Feature_79,-0.2114391623080307,0.2114391623080307
Feature_16,0.20658361874353745,0.20658361874353745
Feature_21,0.20405525805720018,0.20405525805720018
Feature_36,0.20271499299287793,0.20271499299287793
Feature_45,0.18340057000307997,0.18340057000307997
Feature_35,-0.17951068275661178,0.17951068275661178
Feature_71,0.17867368837739686,0.17867368837739686
Feature_76,0.17369356581618192,0.17369356581618192
Feature_65,0.17258093009298653,0.17258093009298653
Feature_26,0.16321600018202598,0.16321600018202598
Feature_49,0.154308346750729,0.154308346750729
Feature_46,0.14756143563547547,0.14756143563547547
Feature_66,0.14662492537958333,0.14662492537958333
Feature_63,0.14261247674189276,0.14261247674189276
Feature_33,-0.13352377966185577,0.13352377966185577
Feature_75,0.1311675306561722,0.1311675306561722
Feature_61,0.1306588917965892,0.1306588917965892
Feature_23,-0.1253190703273378,0.1253190703273378
Feature_15,0.11836622649487027,0.11836622649487027
Feature_28,0.10441947700389435,0.10441947700389435
Feature_80,-0.09159289937000993,0.09159289937000993
Feature_48,0.09145035285038126,0.09145035285038126
Feature_37,-0.07013554103643707,0.07013554103643707
Feature_62,-0.06804825870666932,0.06804825870666932
Feature_27,-0.04795832636679938,0.04795832636679938
Feature_81,-0.046105590168624824,0.046105590168624824
Feature_74,-0.04381819926316414,0.04381819926316414
Feature_58,-0.03479196186736803,0.03479196186736803
Feature_32,0.026655876554238987,0.026655876554238987
Feature_31,-0.023762018528536752,0.023762018528536752
Feature_30,-0.01237017617899333,0.01237017617899333
Feature_14,-0.009175517526029084,0.009175517526029084
