Feature,Coefficient,Abs_Coefficient
homog,1.2961393645401122,1.2961393645401122
HU_p50,0.9608065684452691,0.9608065684452691
HU_std,0.8494462948679213,0.8494462948679213
entropy,-0.8051924465685865,0.8051924465685865
HU_p25,0.7699173941563103,0.7699173941563103
HU_p75,0.6432942030277191,0.6432942030277191
grad_std,-0.5262911227087714,0.5262911227087714
HU_p90,-0.4056692898450119,0.4056692898450119
mean_HU,0.3440836378847235,0.3440836378847235
grad_mean,-0.2890085676673725,0.2890085676673725
mask_area,-0.28760628158825324,0.28760628158825324
contrast,0.27926539958674884,0.27926539958674884
mask_frac,-0.14574934503370107,0.14574934503370107
HU_p10,0.022945023314692663,0.022945023314692663
