Feature,Coefficient,Abs_Coefficient
Feature_81,-1.337110225324144,1.337110225324144
Feature_50,-1.3092848918665647,1.3092848918665647
Feature_47,-1.2575984322102651,1.2575984322102651
mean_HU,-1.1584009508204232,1.1584009508204232
Feature_67,-1.0946214700894878,1.0946214700894878
mask_frac,1.0794181957588491,1.0794181957588491
HU_p90,-0.9870126941818499,0.9870126941818499
Feature_43,0.9530803322004054,0.9530803322004054
Feature_24,0.835215885207371,0.835215885207371
Feature_70,-0.819120822893846,0.819120822893846
Feature_15,-0.8026124891602533,0.8026124891602533
grad_std,-0.7481917292600684,0.7481917292600684
Feature_27,0.7473069097467419,0.7473069097467419
Feature_62,0.7439795968559683,0.7439795968559683
Feature_34,0.728706886278273,0.728706886278273
Feature_35,0.7261934337692361,0.7261934337692361
contrast,0.7216788300566622,0.7216788300566622
Feature_37,-0.7150378833932517,0.7150378833932517
Feature_76,-0.6863212281140476,0.6863212281140476
Feature_82,-0.675367836987576,0.675367836987576
Feature_17,0.6641676120662023,0.6641676120662023
Feature_63,-0.6540396659500595,0.6540396659500595
Feature_80,0.6019596306452061,0.6019596306452061
Feature_16,-0.5983775965838546,0.5983775965838546
Feature_36,-0.596376586277643,0.596376586277643
Feature_31,-0.5667013728046525,0.5667013728046525
Feature_51,-0.5211548587783232,0.5211548587783232
Feature_21,-0.5119328726980175,0.5119328726980175
Feature_23,-0.48760097332166386,0.48760097332166386
Feature_74,0.48568326719306315,0.48568326719306315
HU_p25,0.47860194122393007,0.47860194122393007
Feature_56,-0.46513439923533517,0.46513439923533517
Feature_75,-0.4605650392548509,0.4605650392548509
Feature_44,0.4527468422824701,0.4527468422824701
Feature_66,0.43439463256182015,0.43439463256182015
Feature_60,0.41997047729179415,0.41997047729179415
Feature_53,-0.3956675621232392,0.3956675621232392
mask_area,0.3891663074059661,0.3891663074059661
Feature_72,-0.3646162149588303,0.3646162149588303
Feature_64,0.3547203696472704,0.3547203696472704
Feature_61,-0.35260035175343596,0.35260035175343596
Feature_22,0.3482826537861569,0.3482826537861569
Feature_59,0.34252568595563326,0.34252568595563326
Feature_84,0.3420078797584181,0.3420078797584181
Feature_77,-0.3353372246152596,0.3353372246152596
Feature_49,-0.33511541681067963,0.33511541681067963
Feature_30,-0.32702353864689754,0.32702353864689754
Feature_79,0.3221659360232153,0.3221659360232153
homog,0.30189489960433474,0.30189489960433474
Feature_45,-0.2830951021060702,0.2830951021060702
grad_mean,-0.2804887450832775,0.2804887450832775
HU_p50,0.27121256696511414,0.27121256696511414
Feature_42,0.2679097815880657,0.2679097815880657
Feature_48,0.2678780259934947,0.2678780259934947
Feature_38,0.26766292122184887,0.26766292122184887
Feature_40,0.2664840544398015,0.2664840544398015
Feature_29,-0.26092254904101664,0.26092254904101664
Feature_65,-0.24838617526664228,0.24838617526664228
Feature_78,-0.2378994211521656,0.2378994211521656
Feature_71,0.23664861542917034,0.23664861542917034
Feature_33,0.23489363326752663,0.23489363326752663
HU_std,0.22055197094171214,0.22055197094171214
Feature_39,-0.20490726740864168,0.20490726740864168
Feature_73,-0.19461426943618132,0.19461426943618132
entropy,0.19245249328186204,0.19245249328186204
Feature_41,-0.1883353089381837,0.1883353089381837
Feature_19,0.18525871761452767,0.18525871761452767
Feature_83,-0.16363465095152913,0.16363465095152913
HU_p75,0.16027054755390424,0.16027054755390424
Feature_52,0.15080879988326062,0.15080879988326062
Feature_26,0.13760751072045882,0.13760751072045882
Feature_69,-0.1324767742242428,0.1324767742242428
Feature_58,-0.13021964157330174,0.13021964157330174
Feature_25,0.11143433424426041,0.11143433424426041
Feature_55,0.10662387255054585,0.10662387255054585
Feature_32,0.09661197484239395,0.09661197484239395
Feature_20,-0.06084525967660614,0.06084525967660614
Feature_57,0.051167403091278436,0.051167403091278436
Feature_54,-0.04724648015293304,0.04724648015293304
Feature_68,-0.03341374452344921,0.03341374452344921
Feature_28,-0.021175884747616776,0.021175884747616776
HU_p10,0.02110731632088125,0.02110731632088125
Feature_46,0.01821039749034335,0.01821039749034335
Feature_18,-0.001989773500698333,0.001989773500698333
Feature_14,-0.0005313100024053133,0.0005313100024053133
