feature,overlap_coef,cohens_d
Feature_65,0.9095815331580952,0.06082456762614261
entropy,0.9079371071244793,0.002822831462262336
Feature_57,0.892318600122977,0.007084997091151141
Feature_46,0.8891794044794129,0.17925471346710087
Feature_66,0.8831926144845276,0.1742727385428738
Feature_70,0.8708262601163922,0.09129327634312691
Feature_80,0.8512409145788689,0.26418697723194423
Feature_36,0.8434366416236465,0.16850596557695494
Feature_15,0.8344741794344935,0.34493233495376396
Feature_63,0.8295812051850993,0.41181424000314454
homog,0.8234383037750651,0.34486698278884265
Feature_56,0.8064895021881267,0.35083495349319105
Feature_61,0.7901346254418585,0.5120610669221313
Feature_77,0.7735427265649841,0.5060329334661299
Feature_32,0.7549660055282748,0.5431338478081522
