Feature,Coefficient,Abs_Coefficient
HU_p90,1.3231161247240992,1.3231161247240992
HU_std,-1.2525394476735727,1.2525394476735727
HU_p50,1.0495783177133404,1.0495783177133404
grad_mean,0.7689182287016222,0.7689182287016222
entropy,0.7282098790045306,0.7282098790045306
HU_p75,0.7067457680595217,0.7067457680595217
grad_std,0.6971149597355004,0.6971149597355004
HU_p25,-0.5527053941963538,0.5527053941963538
mean_HU,0.5364618738870287,0.5364618738870287
HU_p10,-0.456880917585407,0.456880917585407
mask_frac,0.4138149817339239,0.4138149817339239
contrast,-0.3886617687792643,0.3886617687792643
mask_area,-0.2695243199015284,0.2695243199015284
homog,-0.23276682467446913,0.23276682467446913
