Feature,Coefficient,Abs_Coefficient
mask_area,-1.9588410242376724,1.9588410242376724
mask_frac,1.6471359205185376,1.6471359205185376
HU_p25,0.8787102261971238,0.8787102261971238
HU_std,0.8098311866307957,0.8098311866307957
HU_p10,-0.8032628120502621,0.8032628120502621
homog,0.7027462471591791,0.7027462471591791
HU_p90,-0.5804189233970692,0.5804189233970692
HU_p75,-0.5745533399022105,0.5745533399022105
grad_mean,0.568692718267671,0.568692718267671
HU_p50,0.2729943194244515,0.2729943194244515
entropy,-0.09571432388580989,0.09571432388580989
mean_HU,-0.07425530193921714,0.07425530193921714
grad_std,0.057941807280392325,0.057941807280392325
contrast,0.043506241146849076,0.043506241146849076
