seed 16 - CT-2 Physics 
Feature,Coefficient,Abs_Coefficient
HU_p90,-1.087876096913933,1.087876096913933
mask_frac,0.6089403677736838,0.6089403677736838
mask_area,-0.5452299729097142,0.5452299729097142
HU_p10,-0.4793133137935126,0.4793133137935126
HU_p50,-0.31149769060024546,0.31149769060024546
mean_HU,-0.30347922784606635,0.30347922784606635
HU_p25,0.27052301306372345,0.27052301306372345
entropy,0.2666096885682489,0.2666096885682489
grad_std,0.18983015276538315,0.18983015276538315
HU_p75,-0.15237124378957562,0.15237124378957562
HU_std,-0.1174998729114343,0.1174998729114343
contrast,0.10698867113396482,0.10698867113396482
homog,-0.09603023082846204,0.09603023082846204
grad_mean,-0.05112128175931985,0.05112128175931985

SEED 42 - CT- 2

Feature,Coefficient,Abs_Coefficient
HU_p90,1.3231161247240992,1.3231161247240992
HU_std,-1.2525394476735727,1.2525394476735727
HU_p50,1.0495783177133404,1.0495783177133404
grad_mean,0.7689182287016222,0.7689182287016222
entropy,0.7282098790045306,0.7282098790045306
HU_p75,0.7067457680595217,0.7067457680595217
grad_std,0.6971149597355004,0.6971149597355004
HU_p25,-0.5527053941963538,0.5527053941963538
mean_HU,0.5364618738870287,0.5364618738870287
HU_p10,-0.456880917585407,0.456880917585407
mask_frac,0.4138149817339239,0.4138149817339239
contrast,-0.3886617687792643,0.3886617687792643
mask_area,-0.2695243199015284,0.2695243199015284
homog,-0.23276682467446913,0.23276682467446913

SEED 999 - CT 2
Feature,Coefficient,Abs_Coefficient
mean_HU,-1.1584009508204232,1.1584009508204232
mask_frac,1.0794181957588491,1.0794181957588491
HU_p90,-0.9870126941818499,0.9870126941818499
grad_std,-0.7481917292600684,0.7481917292600684
contrast,0.7216788300566622,0.7216788300566622
HU_p25,0.47860194122393007,0.47860194122393007
mask_area,0.3891663074059661,0.3891663074059661
homog,0.30189489960433474,0.30189489960433474
grad_mean,-0.2804887450832775,0.2804887450832775
HU_p50,0.27121256696511414,0.27121256696511414
HU_std,0.22055197094171214,0.22055197094171214
entropy,0.19245249328186204,0.19245249328186204
HU_p75,0.16027054755390424,0.16027054755390424
HU_p10,0.02110731632088125,0.02110731632088125


seed 16 - CT-1
Feature,Coefficient,Abs_Coefficient
grad_std,-1.4534571271134016,1.4534571271134016
HU_std,-0.908985930274496,0.908985930274496
grad_mean,-0.7428632193548326,0.7428632193548326
HU_p25,-0.5811371312923231,0.5811371312923231
entropy,-0.4243867968581449,0.4243867968581449
HU_p10,-0.3602758488608329,0.3602758488608329
mask_area,0.3369732464312638,0.3369732464312638
mean_HU,0.3361246680599083,0.3361246680599083
homog,0.26185082796717524,0.26185082796717524
mask_frac,-0.21425773697321626,0.21425773697321626
contrast,-0.1871741618595715,0.1871741618595715
