Feature,Coefficient,Abs_Coefficient
Feature_78,1.672187375549373,1.672187375549373
Feature_33,-1.578370452754613,1.578370452754613
homog,1.2961393645401122,1.2961393645401122
Feature_75,-1.189336545857188,1.189336545857188
Feature_82,1.1624990185525101,1.1624990185525101
Feature_61,1.121565240522587,1.121565240522587
HU_p50,0.9608065684452691,0.9608065684452691
Feature_57,0.8939046020964367,0.8939046020964367
Feature_41,0.8871645827321696,0.8871645827321696
Feature_27,-0.8806975675598462,0.8806975675598462
Feature_31,0.8739548904493375,0.8739548904493375
HU_std,0.8494462948679213,0.8494462948679213
entropy,-0.8051924465685865,0.8051924465685865
Feature_26,0.7960503805952887,0.7960503805952887
HU_p25,0.7699173941563103,0.7699173941563103
Feature_72,0.7458227614867324,0.7458227614867324
Feature_23,0.7456689711380504,0.7456689711380504
Feature_80,-0.7389691958068187,0.7389691958068187
Feature_15,-0.7049762088877419,0.7049762088877419
Feature_53,0.6734692619202348,0.6734692619202348
HU_p75,0.6432942030277191,0.6432942030277191
Feature_74,-0.6403963175239492,0.6403963175239492
Feature_84,-0.6148280622058171,0.6148280622058171
Feature_28,-0.6099394237134977,0.6099394237134977
Feature_55,0.5961935454697312,0.5961935454697312
Feature_67,0.5716850832350063,0.5716850832350063
Feature_46,0.5627131810539988,0.5627131810539988
Feature_47,-0.5481629560111615,0.5481629560111615
Feature_52,-0.5367809817158024,0.5367809817158024
Feature_63,0.5270454311796935,0.5270454311796935
grad_std,-0.5262911227087714,0.5262911227087714
Feature_56,-0.49952888272750706,0.49952888272750706
Feature_48,0.49706664752684526,0.49706664752684526
Feature_58,-0.4814020474033729,0.4814020474033729
Feature_14,0.45271287795849124,0.45271287795849124
Feature_73,0.42605730949694975,0.42605730949694975
Feature_22,-0.41209092615338533,0.41209092615338533
Feature_65,0.40742590813754803,0.40742590813754803
HU_p90,-0.4056692898450119,0.4056692898450119
Feature_19,-0.4011119078469013,0.4011119078469013
Feature_38,-0.3958071497500145,0.3958071497500145
Feature_29,0.3901257318685023,0.3901257318685023
Feature_39,-0.3858024279943645,0.3858024279943645
Feature_69,0.3856869092198089,0.3856869092198089
Feature_59,0.3683825130415767,0.3683825130415767
mean_HU,0.3440836378847235,0.3440836378847235
Feature_54,-0.33257146314323777,0.33257146314323777
Feature_37,-0.3276430816399218,0.3276430816399218
Feature_66,-0.3268280208845215,0.3268280208845215
Feature_21,0.2992231539066128,0.2992231539066128
Feature_76,0.2948648935708422,0.2948648935708422
grad_mean,-0.2890085676673725,0.2890085676673725
mask_area,-0.28760628158825324,0.28760628158825324
Feature_25,0.28447853557313607,0.28447853557313607
Feature_62,-0.2795691166449841,0.2795691166449841
contrast,0.27926539958674884,0.27926539958674884
Feature_43,0.2762880089909384,0.2762880089909384
Feature_44,-0.26615124492441883,0.26615124492441883
Feature_40,0.261200151370023,0.261200151370023
Feature_32,0.2546499202047177,0.2546499202047177
Feature_71,0.22425018886785927,0.22425018886785927
Feature_42,-0.22385878637456105,0.22385878637456105
Feature_24,0.2196422238741792,0.2196422238741792
Feature_68,-0.21037817336476558,0.21037817336476558
Feature_77,0.1993005341227776,0.1993005341227776
Feature_20,-0.1978917348121589,0.1978917348121589
Feature_45,0.18516979513181436,0.18516979513181436
Feature_34,0.17238410383021244,0.17238410383021244
Feature_35,-0.15467546682857639,0.15467546682857639
mask_frac,-0.14574934503370107,0.14574934503370107
Feature_81,-0.1450881717597256,0.1450881717597256
Feature_79,0.13975543865147147,0.13975543865147147
Feature_17,-0.10918550793323127,0.10918550793323127
Feature_30,0.09866675598521159,0.09866675598521159
Feature_70,0.08419390727185853,0.08419390727185853
Feature_83,0.07699569212019441,0.07699569212019441
Feature_50,-0.05449591764160712,0.05449591764160712
Feature_51,-0.05428667831142944,0.05428667831142944
Feature_64,0.05175520846592494,0.05175520846592494
Feature_18,0.04416609736551068,0.04416609736551068
Feature_36,0.04065790645289599,0.04065790645289599
Feature_16,-0.02327506364151744,0.02327506364151744
HU_p10,0.022945023314692663,0.022945023314692663
Feature_49,-0.016722883202973923,0.016722883202973923
Feature_60,-0.007109571604332392,0.007109571604332392
