feature,overlap_coef,cohens_d
Feature_26,0.9217807263487362,0.00028876191968798355
HU_p25,0.9216201407694874,0.1804812284608737
Feature_75,0.9212070062490285,0.07982731551940815
Feature_41,0.9149869980031149,0.01938641563913566
contrast,0.9022469508844797,0.15162901785533867
entropy,0.8998623628906665,0.09606323389940984
grad_mean,0.8912790066181222,0.20094305023832856
Feature_78,0.8900690178583838,0.2295503449946663
HU_p90,0.8818570335073913,0.2889538988681214
Feature_57,0.8733717264163476,0.23409505719076887
Feature_33,0.8718578819213911,0.26749592787671017
Feature_82,0.823298519468291,0.3501482143857675
Feature_61,0.8094556342771264,0.44078291452316515
Feature_27,0.7615902635690055,0.5719690558540744
Feature_31,0.7418573858928519,0.663110985452404
