Feature,Coefficient,Abs_Coefficient
HU_p90,-1.087876096913933,1.087876096913933
mask_frac,0.6089403677736838,0.6089403677736838
mask_area,-0.5452299729097142,0.5452299729097142
HU_p10,-0.4793133137935126,0.4793133137935126
HU_p50,-0.31149769060024546,0.31149769060024546
mean_HU,-0.30347922784606635,0.30347922784606635
HU_p25,0.27052301306372345,0.27052301306372345
entropy,0.2666096885682489,0.2666096885682489
grad_std,0.18983015276538315,0.18983015276538315
HU_p75,-0.15237124378957562,0.15237124378957562
HU_std,-0.1174998729114343,0.1174998729114343
contrast,0.10698867113396482,0.10698867113396482
homog,-0.09603023082846204,0.09603023082846204
grad_mean,-0.05112128175931985,0.05112128175931985
