feature,overlap_coef,cohens_d
Feature_39,0.9097595959239175,0.016348708592750467
contrast,0.9015295678825973,0.15562847840760946
HU_p75,0.89744206898077,0.05692767135777516
HU_std,0.8945291713873581,0.17035002003470562
Feature_40,0.8925447672693845,0.22725203952811643
Feature_41,0.8880946557952649,0.10201686481863534
Feature_67,0.885723775706303,0.1831192093890866
entropy,0.8801563692131282,0.15769536604393627
homog,0.8679770240309437,0.23100902270129692
mask_area,0.8434084551211833,0.393034948040085
Feature_84,0.8322646539959278,0.4300430992325719
Feature_77,0.8239664494661001,0.41172896629031835
Feature_20,0.7950598009402365,0.53153779391554
Feature_51,0.7626162914193918,0.5529617877721562
HU_p25,0.7283942428366952,0.6865703104430422
