feature,overlap_coef,cohens_d
contrast,0.8503919519644992,0.10216594621544296
Feature_23,0.8349558240162787,0.26364461082107865
HU_p10,0.8225898335322435,0.4090782838154046
Feature_42,0.8154213546251967,0.09900957086992565
Feature_18,0.8062510852734569,0.36845040054406186
Feature_26,0.7946634809564154,0.4573845530160895
mask_frac,0.7868402615204407,0.3362054594806919
HU_p25,0.782750549167067,0.1812464091654104
Feature_71,0.7730061304467922,0.272980150661454
Feature_61,0.7713493907020531,0.5696411964179552
Feature_15,0.7495535070773809,0.39543434939091604
Feature_51,0.7430662923322602,0.48169042329658407
HU_p75,0.6868679472908574,0.6642184559357943
Feature_66,0.6815378088367683,0.5729779998008926
Feature_77,0.6806938985900715,0.356491616019243
