Feature,Coefficient,Abs_Coefficient
entropy,1.7199988243981146,1.7199988243981146
mask_frac,-1.5334476588593011,1.5334476588593011
HU_p75,1.489333391743423,1.489333391743423
HU_p50,1.4688499427175405,1.4688499427175405
HU_p10,-1.4542936028389017,1.4542936028389017
HU_p90,1.2509983732480576,1.2509983732480576
homog,-1.1898881852631527,1.1898881852631527
mean_HU,-0.831819900822962,0.831819900822962
grad_mean,-0.7316697613113103,0.7316697613113103
HU_p25,-0.5930748150058995,0.5930748150058995
mask_area,0.4103132878533915,0.4103132878533915
HU_std,-0.23840383377866994,0.23840383377866994
contrast,0.08424485255226755,0.08424485255226755
grad_std,0.016589221527745914,0.016589221527745914
