feature,overlap_coef,cohens_d
Feature_22,0.8316978347328488,0.12105692591449868
contrast,0.8251441222347218,0.21584329001705005
Feature_36,0.819244185340917,0.33454694620458886
Feature_80,0.8148148151970876,0.36277558483900885
Feature_26,0.8025091564728304,0.37951771600753714
Feature_39,0.7892677097709648,0.529020473746015
grad_std,0.7883474666023013,0.2454571906685868
Feature_32,0.7758655795239923,0.008953417595477428
homog,0.7723754511859963,0.4366804880052065
Feature_50,0.7720705674234227,0.5135892235028873
Feature_29,0.7706058347693684,0.19695767874775327
Feature_14,0.7647377783198165,0.3571336808248873
Feature_44,0.7217117957722128,0.5032241728623538
Feature_63,0.68870212938325,0.6370915249671396
Feature_30,0.6543504244500222,0.9109308936370003
